tic_id,category,subcategory,road_name,distance,text,areas
FgAAAAsgOic7Kx0gNDM3JQU/GCguBgA4LAg3JAIgNA83KwEgNgQvPgEgPQMnKgM4Mwc3KwEgPQM/KgIwOhcoIgEmIA4wCSI+BA==,2,7,,0,"A6 Mannheim Richtung Heilbronn
Ausfahrt Wiesloch/Rauenberg
defekter PKW | Wiesloch | Rhein-Neckar-Kreis",
FwAAAAsgIi86LBw4MTYrNQU/PzEBMDEjAS8iBSAkAysgCCI2BCM2DCYgCCczEDAjDD81BDAwAzc+CSg5CDczByAhBzczByggCC8xCjgwCw==,2,7,,0,"B31 Friedrichshafen Richtung Lindau
in Höhe Friedrichshafen-Ost
Straße wieder frei | Friedrichshafen | Bodenseekreis",
+QAAAAsgMyIxKh0oMjI8NAUoLh8gPzUDMCYIKD8ZMDkiAjAmLhEvNwIwLSABOCQCKCkoCTA2FCg4PgMoLjECODs+Ey8wAyg/GTc9AiAjFSchKAE4JzQG,2,7,,0,"A6 Heilbronn Richtung Nürnberg
zwischen Öhringen und Ausfahrt Neuenstein
Gefahr durch Ölspur auf dem Verzögerungsstreifen, Polizei ist vor Ort | Öhringen | Hohenlohekreis",
BgAAAAY4Nzg0IR04IyozLQU/GD8oDScGPyMDLwwnLgYvDCcgCCcGJzwE,2,8,,0,"Stuttgart-Vaihingen, Nobelstraße
zwischen Universitätsstraße und Allmandring
in beiden Richtungen gesperrt, Baustelle, eine Umleitung ist eingerichtet, bis voraussichtlich 29.12.2025 | Vaihingen | Stuttgart",
EAAAAAs+Ljs5Ih0iPC40LwUqMAMpMAMoOAEnOAEgNgQnLgY4NgMnKgMoOAEnOAEkIAIpIwI8PAE9PwEoKgMvKQQoMQI3LwQ2OAI7MQU=,2,9,,29.36,"B10 Stuttgart, Neckartalstraße bis Rosensteintunnel
zwischen B14, Rosensteintunnel und Rosensteintunnel
in beiden Richtungen Gefahr durch Personen auf der Fahrbahn | Bad Cannstatt | Stuttgart",
PAAAAAsyJDUvPhwoJDgxMAU+NyUBPyM7ATA4CS8qCzAnKAEnICEBOCwhAS81DTgmEC8pBDgsCDckAiggCC8+ASgyOwEnNR4gMwg/LgUgKSYBNykM,3,202,,93.27,"B312 Metzingen - Stuttgart
zwischen Bempflingen und Neckartenzlingen
in beiden Richtungen Gefahr durch Gegenstände (ein Metallteil) auf der Fahrbahn | Bempflingen | Bempflingen",
AwAAAAMoMDY9Ih0wMjs0LwUjLQY9LgkjKQYhKQk=,2,8,,0,"Stuttgart-Bad Cannstatt, Hallstraße
zwischen Aachener Straße und Pragstraße
in beiden Richtungen gesperrt, Baustelle, geänderte Verkehrsregelung, bis voraussichtlich 31.07.2026 | Bad Cannstatt | Stuttgart",
DwAAAAsgKTEyIh0wKyYpMAU/KgIgKwInMQIoMQIvNwIwNwInIwQoIwQ3JAI4JAIvNwIoMQI/IwMwNwIvNwIgKwI3JAIwPgEvIgUoNQU=,2,9,,0,"Stuttgart, Benzstraße
zwischen B14 Anschlussstelle Untertürkheim und B14, Benzstraße
Fahrbahn auf einen Fahrstreifen verengt, Baustelle, Verkehrsbehinderung, bis voraussichtlich 24.04.2026 | Bad Cannstatt | Stuttgart",
UAAAAAswKy0pLBwwLicyMAQnKjUBOCI/ATcsCCgkCychDzA2FC8/CDgiDT89IwEoPDYBNzMHKDYMNzsmASgvPwEnNSYHKCorBjcgGCggCCspPgc3MAs=,2,7,,74.2,"A5 Karlsruhe Richtung Basel
zwischen Dreieck Weil am Rhein und Grenzübergang Weil am Rhein/Basel
2 km Stau für LKW auf dem rechten Fahrstreifen | Weil am Rhein | Lörrach",
MQAAAAswPS0wIh02Ijc7MAUnPQwtLBcvPgEnKgMnIwQvLQcvIBAnKRU3OgYnLBEvMAMgPQMoBig8BCgGOC8EADg6BjUIPjgE,3,202,,33.16,"Rotenberg, Württembergstraße
zwischen Ortseingang und Rainstraße
in beiden Richtungen gesperrt, Fels- und Hangsicherungsarbeiten, bis voraussichtlich 11.12.2025 | Rotenberg | Stuttgart",
