source_id,original_uid,name,type,purpose,lat,lon,capacity,opening_hours,has_realtime_data,static_data_updated_at
28,151766585,Abstellanlage,OTHER,BIKE,49.1764577,9.2207853,5,,False,2025-12-10T01:02:49Z
38,INFRA-de:08115:7302-FAHRRADANLAGE-2,Parkplatz,LOCKERS,BIKE,48.7751912,8.9313560,16,,False,2025-12-10T01:03:36Z
38,INFRA-de:08116:1801-FAHRRADANLAGE-1,Parkplatz,LOCKERS,BIKE,48.7470275,9.2761190,3,,False,2025-12-10T01:03:36Z
38,INFRA-de:08317:15011-FAHRRADANLAGE-4,Parkplatz,LOCKERS,BIKE,48.5769101,7.8062162,90,,False,2025-12-10T01:03:37Z
8,73,Verwaltungsstelle Amorbach,OFF_STREET_PARKING_GROUND,CAR,49.2110244,9.2540032,40,24/7,False,2025-11-19T10:09:34Z
8,77,P7 Sulmstraße,OFF_STREET_PARKING_GROUND,CAR,49.1924996,9.2276373,22,24/7,False,2025-11-19T10:09:34Z
62,136,Poststraße,ON_STREET,CAR,48.8962545,8.5988475,0,24/7,False,2023-08-30T12:00:00Z
62,50,Weinbergstraße,ON_STREET,CAR,48.9023041,8.5780187,7,24/7,False,2023-08-30T12:00:00Z
39,INFRA-de:08115:3201-PARKPLATZ-2,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,48.7037744,8.9993436,35,,False,2025-12-10T01:00:54Z
39,INFRA-de:08118:7402-PARKPLATZ-1,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,48.8931541,9.1848288,78,,False,2025-12-10T01:00:54Z
26,5720,"Siegen, Altstadt",CAR_PARK,CAR,50.8719300,8.0228400,413,24/7,False,2025-07-15T09:43:36Z
39,INFRA-de:08119:1703-PARKPLATZ-3,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,48.8104269,9.4209888,28,,False,2025-12-10T01:00:54Z
39,INFRA-de:08119:5786-PARKPLATZ-3,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,48.9820375,9.4629082,37,,False,2025-12-10T01:00:54Z
39,INFRA-de:08335:6722-PARKPLATZ-1,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,47.7438589,8.7391005,10,,False,2025-12-10T01:00:54Z
61,1,1,ON_STREET,CAR,48.7423811,9.3061016,2,,False,2022-03-15T12:00:00Z
39,INFRA-de:08118:7503-PARKPLATZ-7,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,48.9433445,9.2643748,3,,False,2025-12-10T01:00:54Z
6,100043-parking,Hochgarage am Bahnhof,CAR_PARK,CAR,53.0802970,8.8142900,252,,False,2025-12-10T01:02:02Z
39,INFRA-de:08119:7600-PARKPLATZ-8,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,48.9431330,9.4257853,6,,False,2025-12-10T01:00:54Z
38,INFRA-de:08111:6002-FAHRRADANLAGE-3,Parkplatz,STANDS,BIKE,48.7269265,9.1121404,10,,False,2025-12-10T01:03:36Z
39,INFRA-de:08119:7703-PARKPLATZ-3,Parkplatz,OTHER,CAR,48.8068236,9.5261735,2,,False,2025-12-10T01:00:54Z
38,INFRA-de:08116:2105-FAHRRADANLAGE-3,Parkplatz,WALL_LOOPS,BIKE,48.7055118,9.1272062,26,,False,2025-12-10T01:03:36Z
38,INFRA-de:08119:5789-FAHRRADANLAGE-4,Parkplatz,LOCKERS,BIKE,48.8049520,9.5755540,27,,False,2025-12-10T01:03:36Z
38,INFRA-de:08211:31940-FAHRRADANLAGE-4,Parkplatz,OTHER,BIKE,48.7621130,8.2530380,10,,False,2025-12-10T01:03:36Z
38,INFRA-de:08336:6631-FAHRRADANLAGE-6,Parkplatz,WALL_LOOPS,BIKE,47.6557228,7.5629905,30,,False,2025-12-10T01:03:37Z
39,INFRA-de:08125:1438-PARKPLATZ-7,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,49.0763577,9.1469881,6,,False,2025-12-10T01:00:54Z
39,INFRA-de:08128:13824-PARKPLATZ-1,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,49.5807393,9.7102419,6,,False,2025-12-10T01:00:54Z
39,INFRA-de:08225:9129-PARKPLATZ-2,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,49.3982513,9.0744449,18,,False,2025-12-10T01:00:54Z
39,INFRA-de:08225:9129-PARKPLATZ-3,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,49.3987758,9.0744748,12,,False,2025-12-10T01:00:54Z
39,INFRA-de:08225:9180-PARKPLATZ-2,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,49.3479420,9.1130538,13,,False,2025-12-10T01:00:54Z
39,INFRA-de:08226:200-PARKPLATZ-1,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,49.3599572,8.7841173,24,,False,2025-12-10T01:00:54Z
8,76,P1 Kolpinggarage,UNDERGROUND,CAR,49.1917677,9.2260474,29,24/7,False,2025-11-19T10:09:34Z
39,INFRA-de:08237:5001-PARKPLATZ-4,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,48.4423602,8.6891131,5,,False,2025-12-10T01:00:54Z
39,INFRA-de:08436:32006-PARKPLATZ-1,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,47.8239125,9.8087674,6,,False,2025-12-10T01:00:55Z
59,b35a47a7f96a122ca2d4be26131f74ec,Schneeburgstraße,ON_STREET,CAR,47.9783738,7.8105101,20,,False,2025-12-10T01:01:28Z
24,Parkplatz Farbstr.,Parkplatz Farbstr.,OFF_STREET_PARKING_GROUND,CAR,48.9582300,9.1229000,137,,True,2025-12-10T01:02:43Z
12,54,Kongresszentrum PH1,CAR_PARK,CAR,49.0037051,8.4019720,495,,True,2023-12-31T00:00:00Z
60,851767706-0.0-104.03687774484072,Humboldtstraße,ON_STREET,CAR,49.4148623,8.6779587,20,,False,2025-12-10T01:02:59Z
60,53062373-72.89014889572205-99.56514889572205,Keplerstraße,ON_STREET,CAR,49.4164776,8.6855499,5,,False,2025-12-10T01:02:59Z
61,353,353,ON_STREET,CAR,48.7345358,9.3151053,4,,False,2021-11-02T12:00:00Z
38,INFRA-de:08436:8000-FAHRRADANLAGE-2,Parkplatz,WALL_LOOPS,BIKE,47.7838844,9.6060428,80,,False,2025-12-10T01:03:37Z
39,INFRA-de:08115:5773-PARKPLATZ-3,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,48.6620962,8.9418725,53,,False,2025-12-10T01:00:54Z
39,INFRA-de:08125:1023-PARKPLATZ-2,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,49.1440689,9.4042071,20,,False,2025-12-10T01:00:54Z
39,INFRA-de:08215:1548-PARKPLATZ-1,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,49.0238003,8.6477278,3,,False,2025-12-10T01:00:54Z
39,INFRA-de:08222:2417-PARKPLATZ-4,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,49.4784940,8.4681010,12,,False,2025-12-10T01:00:54Z
39,INFRA-de:08235:10198-PARKPLATZ-1,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,48.5653224,8.6184458,4,,False,2025-12-10T01:00:54Z
39,INFRA-de:08317:11071-PARKPLATZ-1,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,48.3806976,8.1400317,10,,False,2025-12-10T01:00:54Z
8,78,Heidelberger Straße,OFF_STREET_PARKING_GROUND,CAR,49.2027930,9.2426830,53,24/7,False,2025-11-19T10:09:34Z
39,INFRA-de:08436:8122-PARKPLATZ-1,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,47.7514055,9.5745387,10,,False,2025-12-10T01:00:55Z
62,168,Weinbergstraße,OFF_STREET_PARKING_GROUND,CAR,48.9022701,8.5782692,8,24/7,False,2023-08-30T12:00:00Z
62,53,Weinbergstraße,ON_STREET,CAR,48.9019544,8.5784355,12,,False,2023-08-30T12:00:00Z
59,b372b9aafb5555b1a2617e9cb71ee24d,Christahof,ON_STREET,CAR,47.9889510,7.8027195,1,,False,2025-12-10T01:01:28Z
26,5723,"Siegen, Reichwalds Ecke",CAR_PARK,CAR,50.8768920,8.0205960,428,24/7,False,2025-05-12T10:35:43Z
6,100006-parking,Parkhaus Aschaffenburg Hauptbahnhof,CAR_PARK,CAR,49.9798470,9.1436420,459,24/7,False,2025-12-10T01:02:02Z
7,199,Parkhaus Rohrwang,CAR_PARK,CAR,48.8393954,10.0714753,247,,False,2025-12-10T01:01:21Z
26,6185,"Aschaffenburg, Luitpoldstraße",CAR_PARK,CAR,49.9771460,9.1447830,405,24/7,False,2025-10-09T04:54:39Z
61,2,2,ON_STREET,CAR,48.7424116,9.3063601,4,,False,2022-03-15T12:00:00Z
6,100007-parking,Parkplatz Aschaffenburg Kolbornstraße,OFF_STREET_PARKING_GROUND,CAR,49.9804910,9.1518990,33,24/7,False,2025-12-10T01:02:02Z
9,1003,Sommerrain,OFF_STREET_PARKING_GROUND,CAR,48.8148970,9.2501544,314,24/7,False,2025-11-19T10:09:31Z
9,1007,Backnang Parkhaus,CAR_PARK,CAR,48.9428524,9.4248198,224,24/7,False,2025-11-19T10:09:31Z
38,INFRA-de:08116:4257-FAHRRADANLAGE-5,Parkplatz,LOCKERS,BIKE,48.6739817,9.3733259,10,,False,2025-12-10T01:03:36Z
38,INFRA-de:08119:5790-FAHRRADANLAGE-1,Parkplatz,WALL_LOOPS,BIKE,48.8433143,9.5394333,8,,False,2025-12-10T01:03:36Z
38,INFRA-de:08119:7600-FAHRRADANLAGE-8,Parkplatz,LOCKERS,BIKE,48.9430196,9.4266779,10,,False,2025-12-10T01:03:36Z
38,INFRA-de:08119:7601-FAHRRADANLAGE-7,Parkplatz,OTHER,BIKE,48.9261984,9.4191331,30,,False,2025-12-10T01:03:36Z
62,140,Schillerstraße,ON_STREET,CAR,48.8964109,8.5992347,0,24/7,False,2023-08-30T12:00:00Z
