agency_id,agency_name,agency_url,agency_timezone
"vvs-40","Straßenbahnwelt Stuttgart","https://www.vvs.de/fahrplan/","Europe/Berlin"
"rbs-FMO","LB","https://www.bahn.de/regiobusstuttgart/view/index.shtml","Europe/Berlin"
"hn-1","BürgerBus-Verein Eppingen e.V.","https://www.stadtwerke-heilbronn.de/swh/bus-und-bahn/","Europe/Berlin"
"hn-2","Bürgerbus Leingarten","https://www.stadtwerke-heilbronn.de/swh/bus-und-bahn/","Europe/Berlin"
"hn-3","Bürgerbus Bad Rappenau","https://www.stadtwerke-heilbronn.de/swh/bus-und-bahn/","Europe/Berlin"
"hn-4","Buergerbus Bad Wimpfen","https://www.stadtwerke-heilbronn.de/swh/bus-und-bahn/","Europe/Berlin"
"hn-6","Bürgerbus Dornhan","https://www.stadtwerke-heilbronn.de/swh/bus-und-bahn/","Europe/Berlin"
"hn-5","Dreisam-Stromer","https://www.stadtwerke-heilbronn.de/swh/bus-und-bahn/","Europe/Berlin"
"hn-8","Bürgerbus3Rosen e.V.","https://www.stadtwerke-heilbronn.de/swh/bus-und-bahn/","Europe/Berlin"
"hn-9","Bürgerbus Furtwangen e.V.","https://www.stadtwerke-heilbronn.de/swh/bus-und-bahn/","Europe/Berlin"
"hn-12","Bürgerbus Schramberg e.V.","https://www.stadtwerke-heilbronn.de/swh/bus-und-bahn/","Europe/Berlin"
"hn-13","Bürgerbus Nordheim","https://www.stadtwerke-heilbronn.de/swh/bus-und-bahn/","Europe/Berlin"
"hn-14","Bürgerbus Wannweil","https://www.stadtwerke-heilbronn.de/swh/bus-und-bahn/","Europe/Berlin"
"hn-21","Stadt Waldkirch","https://www.stadtwerke-heilbronn.de/swh/bus-und-bahn/","Europe/Berlin"
"hn-22","deer GmbH","https://www.stadtwerke-heilbronn.de/swh/bus-und-bahn/","Europe/Berlin"
"hnv-03","DB Regio Stuttgart","https://www.h3nv.de","Europe/Berlin"
"hnv-02","DB","https://www.h3nv.de","Europe/Berlin"
"hnv-04","DB RegioNetz Verkehrs GmbH - Westfrankenbahn","https://www.h3nv.de","Europe/Berlin"
"hnv-19","Südwestdeutsche Landesverkehrs-GmbH (SWEG)","https://www.h3nv.de","Europe/Berlin"
"hnv-09","Arverio Baden-Württemberg","https://www.h3nv.de","Europe/Berlin"
"hnv-10","Stadtwerke Heilbronn - Verkehrsbetriebe","https://www.h3nv.de","Europe/Berlin"
"hnv-11","Nahverkehr Hohenlohekreis","https://www.h3nv.de","Europe/Berlin"
"hnv-30","City-Bus Künzelsau","https://www.h3nv.de","Europe/Berlin"
"hnv-24","Künzelsauer Bergbahn","https://www.h3nv.de","Europe/Berlin"
"hnv-12","DB Regiobus BW","https://www.h3nv.de","Europe/Berlin"
"hnv-32","Taxi Götz","https://www.h3nv.de","Europe/Berlin"
"hnv-15","Omnibus-Verkehr Ruoff GmbH","https://www.h3nv.de","Europe/Berlin"
"hnv-36","Huetter-Lidle Linienverkehr","https://www.h3nv.de","Europe/Berlin"
"hnv-23","Busverkehr Hofmann GmbH","https://www.h3nv.de","Europe/Berlin"
"hnv-25","Müller Reisen","https://www.h3nv.de","Europe/Berlin"
"hnv-27","Omnibusverkehr Zügel GmbH","https://www.h3nv.de","Europe/Berlin"
"hnv-21","Friedrich Gross OHG","https://www.h3nv.de","Europe/Berlin"
"hnv-22","Manuela Heinrich-Mauß Omnibusverkehr","https://www.h3nv.de","Europe/Berlin"
"hnv-35","Reisebüro Wöhrle GmbH","https://www.h3nv.de","Europe/Berlin"
"hnv-20","BB Omnibusverkehr UG","https://www.h3nv.de","Europe/Berlin"
"hnv-17","E.Zartmann GmbH & Co. KG","https://www.h3nv.de","Europe/Berlin"
"vrn-05","RNV Rhein-Neckar-Verkehr GmbH","https://www.vrn.de","Europe/Berlin"
"vrn-09","Rheinfähre Altrip  (www.rheinfaehre-altrip.com)","https://www.vrn.de","Europe/Berlin"
"vrn-03","SWEG Landesverkehrs-GmbH","https://www.vrn.de","Europe/Berlin"
"vrn-04","SWEG Bus Schwetzingen GmbH","https://www.vrn.de","Europe/Berlin"
"vrn-11","Stadtwerke Eberbach","https://www.vrn.de","Europe/Berlin"
"vrn-52","PalatinaBus","https://www.vrn.de","Europe/Berlin"
"vrn-17","Busverkehr Rhein-Neckar GmbH","https://www.vrn.de","Europe/Berlin"
"vrn-19","Regiobus Stuttgart","https://www.vrn.de","Europe/Berlin"
"vrn-69","DB Regio Bus Mitte","https://www.vrn.de","Europe/Berlin"
"vrn-23","Georg Sauter GmbH","https://www.vrn.de","Europe/Berlin"
"vrn-81","Verkehrsgesellschaft Gersprenztal mbH","https://www.vrn.de","Europe/Berlin"
"vrn-39","Omnibusunternehmen Paul Knühl e.K.","https://www.vrn.de","Europe/Berlin"
"vrn-40","FA. Berberich GmbH","https://www.vrn.de","Europe/Berlin"
"vrn-56","OREG","https://www.vrn.de","Europe/Berlin"
"vrn-95","Verkehrsunternehmens-Verbund Mainfranken GmbH","https://www.vrn.de","Europe/Berlin"
"vrn-90","VerkehrsGesellschaft Main-Tauber mbH (VGMT)","https://www.vrn.de","Europe/Berlin"
"vrn-109","Seitz Bus GmbH & Co. KG","https://www.vrn.de","Europe/Berlin"
"vrn-92","Omnibusverkehr Franken GmbH","https://www.vrn.de","Europe/Berlin"
"vrn-22","Verkehrsg. Untermain","https://www.vrn.de","Europe/Berlin"
"vrn-82","Jahnke GmbH & Co. Reisen KG","https://www.vrn.de","Europe/Berlin"
"vrn-99","Verkehrsunternehmen","https://www.vrn.de","Europe/Berlin"
"vrn-06","Heidelberger Straßen- und Bergbahn GmbH","https://www.vrn.de","Europe/Berlin"
"vrn-01","DB Regio AG Regio Rhein-Neckar","https://www.vrn.de","Europe/Berlin"
"kvv-46","Richard Eberhardt GmbH","https://www.kvv.de","Europe/Berlin"
"kvv-02","Verkehrsbetriebe Karlsruhe GmbH","https://www.kvv.de","Europe/Berlin"
"kvv-43","Taxi-Funk-Zentrale Karlsruhe eG","https://www.kvv.de","Europe/Berlin"
"kvv-50","DB ZugBus Regionalverkehr Alb-Bodensee","https://www.kvv.de","Europe/Berlin"
"kvv-18","Stadtbus Bruchsal","https://www.kvv.de","Europe/Berlin"
"kvv-17","Regionalbusverkehr Südwest GmbH","https://www.kvv.de","Europe/Berlin"
"kvv-24","Friedrich Wöhrle","https://www.kvv.de","Europe/Berlin"
"kvv-40","Kraichtal Bus GbR","https://www.kvv.de","Europe/Berlin"
"kvv-03","Stadtwerke Baden-Baden","https://www.kvv.de","Europe/Berlin"
"kvv-22","Verkehrsgesellschaft Rastatt mbH","https://www.kvv.de","Europe/Berlin"
"kvv-20","SWEG Südwestdeutsche Landesverkehrs-AG","https://www.kvv.de","Europe/Berlin"
"kvv-30","Taxi Bitterwolf","https://www.kvv.de","Europe/Berlin"
"kvv-25","Zeller Bus, Taxi- und Krankentransporte GmbH","https://www.kvv.de","Europe/Berlin"
"kvv-29","Taxi-Holl","https://www.kvv.de","Europe/Berlin"
"kvv-23","Nahverkehr Mittelbaden Walz GmbH","https://www.kvv.de","Europe/Berlin"
"kvv-01","Albtal-Verkehrs-Gesellschaft mbH","https://www.kvv.de","Europe/Berlin"
"kvv-35","Engel Mühlacker","https://www.kvv.de","Europe/Berlin"
"kvv-11","Faller Reisen GmbH","https://www.kvv.de","Europe/Berlin"
"kvv-12","Hassis Reisen GmbH","https://www.kvv.de","Europe/Berlin"
"kvv-34","Friedrich Müller Omnibusunternehmen GmbH","https://www.kvv.de","Europe/Berlin"
